#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1     -1.2092     -1.2092           0
           2   -0.628194   -0.918699    0.205418
           3   -0.509394   -0.782264    0.176533
           4   -0.431137   -0.694482    0.152672
           5   -0.450718   -0.645729    0.129689
           6   -0.402437    -0.60518    0.114237
           7   -0.408424   -0.577072    0.101316
           8   -0.375671   -0.551897   0.0917264
           9   -0.401393   -0.535175   0.0830449
          10   -0.433916   -0.525049   0.0753552
          11    -0.41281   -0.514845   0.0691921
          12   -0.392271   -0.504631   0.0641756
          13   -0.451651   -0.500555   0.0593683
          14   -0.375466    -0.49162    0.055796
          15   -0.306059    -0.47925   0.0534301
          16   -0.380617   -0.473085   0.0504451
          17   -0.349521   -0.465817   0.0479985
          18   -0.390298   -0.461621   0.0455149
          19   -0.385517   -0.457616   0.0432953
          20    -0.41709   -0.455589   0.0411779
          21   -0.402656   -0.453069   0.0392941
          22   -0.409394   -0.451084   0.0375581
          23   -0.362253   -0.447221   0.0361232
          24   -0.406679   -0.445532   0.0346576
          25    -0.40986   -0.444105   0.0333006
          26   -0.409827   -0.442787   0.0320459
          27   -0.443733   -0.442822    0.030859
          28   -0.315295   -0.438267   0.0300912
          29   -0.335369   -0.434719    0.029262
          30   -0.406049   -0.433763   0.0283022
