#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    0.075362    0.075362           0
           2   0.0606526   0.0680073  0.00520055
           3   0.0580477   0.0646874  0.00440091
           4   0.0584909   0.0631383  0.00356291
           5   0.0567582   0.0618623  0.00307033
           6     0.05533   0.0607736  0.00274486
           7   0.0580832   0.0603892  0.00237949
           8   0.0554159   0.0597676  0.00216173
           9   0.0552167   0.0592619   0.0019798
          10    0.054983    0.058834  0.00182747
          11   0.0554352    0.058525  0.00168726
          12   0.0542496   0.0581688  0.00158382
          13    0.060171   0.0583228  0.00146946
          14   0.0560892   0.0581632  0.00137313
          15   0.0548181   0.0579402  0.00129957
          16   0.0594258   0.0580331  0.00122166
          17   0.0556644   0.0578937  0.00115772
          18   0.0567961   0.0578328  0.00109501
          19   0.0545576   0.0576604  0.00105085
          20   0.0607727    0.057816  0.00100977
          21   0.0572999   0.0577914 0.000961982
          22    0.058146   0.0578075 0.000918391
          23   0.0568957   0.0577679 0.000879316
          24   0.0561344   0.0576998 0.000845308
          25   0.0535686   0.0575346  0.00082749
          26   0.0548096   0.0574298 0.000802273
          27    0.058374   0.0574648 0.000773321
          28   0.0550418   0.0573782 0.000750528
          29   0.0573475   0.0573772 0.000724649
          30   0.0593652   0.0574434 0.000703517
