#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.86862     1.86862           0
           2     1.48341     1.67602    0.136191
           3     1.40446      1.5855    0.117072
           4     1.35228     1.52719    0.101287
           5     1.36536     1.49483   0.0860457
           6     1.33313     1.46788   0.0758078
           7     1.33718     1.44921    0.067238
           8     1.31531     1.43247   0.0608808
           9     1.33235     1.42134   0.0551231
          10       1.354     1.41461   0.0500205
          11     1.33996     1.40782   0.0459312
          12     1.32633     1.40103   0.0426027
          13     1.36591     1.39833   0.0394112
          14     1.31517     1.39239    0.037041
          15     1.26895     1.38416   0.0354739
          16     1.31864     1.38007   0.0334924
          17     1.29784     1.37523   0.0318696
          18     1.32489     1.37243   0.0302215
          19      1.3219     1.36977   0.0287477
          20     1.34291     1.36843   0.0273417
          21     1.33328     1.36676   0.0260909
          22     1.33782     1.36544    0.024938
          23     1.30639     1.36287   0.0239856
          24     1.33594     1.36175   0.0230124
          25     1.33819     1.36081   0.0221112
          26     1.33803     1.35993   0.0212781
          27     1.36052     1.35995   0.0204901
          28     1.27511     1.35692   0.0199811
          29      1.2884     1.35456   0.0194313
          30     1.33558     1.35393   0.0187939
