#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1      0.2972      0.2972           0
           2    0.292531    0.294865  0.00165074
           3    0.301458    0.297063  0.00210506
           4    0.300165    0.297838   0.0017157
           5    0.293225    0.296916  0.00160156
           6    0.299417    0.297333  0.00138782
           7    0.300056    0.297722   0.0012429
           8     0.30045    0.298063  0.00113335
           9    0.295826    0.297814  0.00103431
          10    0.298655    0.297898 0.000934289
          11    0.296155     0.29774 0.000862688
          12    0.292499    0.297303 0.000894544
          13     0.30314    0.297752 0.000931611
          14    0.291752    0.297323 0.000958597
          15    0.297048    0.297305 0.000894866
          16    0.302421    0.297625 0.000894239
          17    0.297665    0.297627  0.00084164
          18    0.295024    0.297483 0.000807211
          19    0.293321    0.297264  0.00079389
          20    0.299916    0.297396 0.000765196
