#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
                   1            -0.58574            -0.58574                   0
                   2           -0.581783           -0.583762          0.00139914
                   3           -0.584595           -0.584039         0.000959941
                   4           -0.587471           -0.584897          0.00103448
                   5           -0.584125           -0.584743          0.00083903
                   6            -0.58306           -0.584462         0.000744589
                   7           -0.586494           -0.584753         0.000692453
                   8           -0.582771           -0.584505         0.000648692
                   9           -0.583957           -0.584444         0.000579464
                  10           -0.584967           -0.584496         0.000523873
                  11           -0.585081           -0.584549         0.000478937
                  12           -0.585107           -0.584596         0.000441276
                  13           -0.583164           -0.584486         0.000420861
                  14            -0.58275           -0.584362         0.000408646
                  15           -0.583544           -0.584307         0.000385026
                  16           -0.584539           -0.584322         0.000361234
                  17           -0.583003           -0.584244         0.000348214
                  18           -0.586319           -0.584359         0.000347425
                  19           -0.586301           -0.584462         0.000343838
                  20            -0.58285           -0.584381         0.000335956
