#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.62409     2.62409           0
           2      2.5695     2.59679   0.0192993
           3     2.71508     2.63622    0.034669
           4     2.65203     2.64017    0.026226
           5      2.5864     2.62942   0.0230807
           6     2.69838     2.64091   0.0219092
           7     2.58223     2.63253     0.02032
           8     2.66468     2.63655   0.0181731
           9     2.62251     2.63499   0.0162206
          10     2.61013      2.6325   0.0147878
          11     2.58058     2.62778   0.0141769
          12     2.58953     2.62459   0.0133491
          13     2.57827     2.62103   0.0127891
          14     2.50381     2.61266   0.0143571
          15     2.63024     2.61383   0.0134478
          16      2.5044     2.60699   0.0142406
          17     2.55822     2.60412   0.0136888
          18       2.572     2.60234   0.0130441
          19     2.66549     2.60566    0.012774
          20     2.51535     2.60115   0.0129087
