#   N_BLOCK:  ACCEPTANCE:
           1    0.411343
           2    0.412394
           3    0.412232
           4    0.411725
           5    0.411995
           6    0.412216
           7    0.412114
           8    0.412303
           9    0.412364
          10    0.412197
          11     0.41208
          12    0.412056
          13    0.412119
          14    0.412278
          15    0.412285
          16     0.41227
          17    0.412341
          18    0.412271
          19     0.41214
          20    0.412206
