#   N_BLOCK:  ACCEPTANCE:
           1    0.050373
           2   0.0527015
           3    0.052591
           4   0.0524447
           5   0.0516814
           6   0.0505342
           7   0.0504461
           8   0.0501402
           9   0.0493199
          10   0.0486509
          11   0.0486601
          12   0.0487207
          13   0.0489625
          14   0.0493456
          15    0.049505
          16   0.0496474
          17   0.0494877
          18   0.0494983
          19   0.0490032
          20   0.0489626
