#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.508856    0.508856           0
           2    0.498454    0.503655  0.00367762
           3    0.484757    0.497356  0.00569792
           4     0.48736    0.494857  0.00479022
           5    0.499171     0.49572   0.0039091
           6    0.462406    0.490167  0.00602509
           7    0.476388    0.488199  0.00547648
           8    0.485244     0.48783  0.00480436
           9    0.446554    0.483244  0.00607727
          10    0.457272    0.480646  0.00599888
          11    0.489755    0.481474  0.00551039
          12    0.476833    0.481088  0.00506474
          13    0.510087    0.483318  0.00514299
          14    0.513274    0.485458  0.00520173
          15    0.529059    0.488365  0.00560859
          16    0.518401    0.490242  0.00556336
          17    0.517502    0.491846  0.00546231
          18    0.498879    0.492236  0.00517281
          19    0.437819    0.489372  0.00563795
          20    0.494627    0.489635  0.00536218
