#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     54.3296     54.3296           0
           2     49.9792     52.1544     1.53809
           3     52.5906     52.2998     1.03224
           4     53.5731     52.6181    0.821803
           5      55.017     53.0979    0.785095
           6     58.2132     53.9504     1.01673
           7     53.8776       53.94    0.871532
           8      56.494     54.2593    0.818976
           9      60.044      54.902    0.947191
          10     60.7715      55.489     1.01822
          11     55.5496     55.4945    0.925668
          12     55.6578     55.5081     0.84863
          13     53.0484     55.3189    0.804167
          14     51.4265     55.0409    0.793333
          15     53.8841     54.9637    0.744183
          16     52.9581     54.8384    0.708151
          17     58.0876     55.0295    0.691808
          18     55.4306     55.0518    0.653733
          19     62.1288     55.4243    0.717636
          20     56.7778     55.4919    0.684938
