#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.516201    0.516201           0
           2    0.553858     0.53503   0.0133137
           3     0.52555     0.53187  0.00924318
           4    0.569963    0.541393   0.0107739
           5    0.553566    0.543828  0.00888998
           6    0.512322    0.538577   0.0088238
           7    0.504211    0.533667  0.00882393
           8    0.537272    0.534118  0.00773243
           9    0.539781    0.534747  0.00689883
          10    0.510917    0.532364  0.00660772
          11    0.517963    0.531055  0.00613534
          12     0.53431    0.531326  0.00563005
          13    0.523362    0.530714   0.0052302
          14    0.537654    0.531209  0.00488005
          15    0.535625    0.531504  0.00456358
          16     0.50588    0.529902  0.00455069
          17    0.527311     0.52975  0.00428555
          18    0.502416    0.528231  0.00430812
          19    0.537685    0.528729  0.00411001
          20    0.493096    0.526947  0.00427325
