#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
                   1           -0.916389           -0.916389                   0
                   2            -0.91316           -0.914775          0.00114144
                   3           -0.912667           -0.914072         0.000952882
                   4           -0.913397           -0.913903         0.000729478
                   5           -0.916252           -0.914373         0.000719081
                   6           -0.915171           -0.914506         0.000611404
                   7           -0.913213           -0.914321         0.000551276
                   8           -0.912124           -0.914047         0.000546501
                   9           -0.915855           -0.914248         0.000521401
                  10           -0.915505           -0.914373          0.00048418
                  11           -0.912911            -0.91424         0.000458047
                  12            -0.91101           -0.913971          0.00049266
                  13           -0.909649           -0.913639         0.000555741
                  14           -0.906406           -0.913122         0.000717013
                  15           -0.908929           -0.912843          0.00072164
                  16           -0.907579           -0.912514         0.000747759
                  17           -0.907115           -0.912196         0.000768255
                  18           -0.916228            -0.91242         0.000757532
                  19           -0.917568           -0.912691         0.000764584
                  20             -0.9118           -0.912646         0.000727653
