#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     33.3575     33.3575           0
           2     32.2714     32.8145    0.383983
           3     31.7578     32.4622    0.385017
           4     32.4422     32.4572    0.288796
           5     33.9979     32.7653    0.359634
           6     32.2064     32.6722    0.311526
           7     31.4258     32.4941    0.313808
           8     32.2027     32.4577    0.276689
           9     34.5431     32.6894    0.328961
          10     32.4518     32.6657    0.296922
          11     31.5636     32.5655    0.286334
          12     30.5034     32.3936    0.309772
          13     30.7698     32.2687    0.310106
          14     29.8734     32.0976    0.331816
          15      31.358     32.0483    0.313338
          16     29.2362     31.8726    0.339488
          17     29.6991     31.7447    0.342749
          18      32.776      31.802    0.328461
          19     34.1232     31.9242    0.333119
          20     30.8472     31.8703    0.320786
