#   N_BLOCK:  ACCEPTANCE:
           1    0.090777
           2    0.091975
           3   0.0929093
           4   0.0930195
           5    0.092568
           6   0.0924592
           7     0.09266
           8   0.0928015
           9   0.0924534
          10   0.0923191
          11   0.0924185
          12   0.0925483
          13   0.0928425
          14   0.0932514
          15   0.0934399
          16   0.0937109
          17   0.0940277
          18   0.0938569
          19    0.093608
          20   0.0936899
