0.300,-9.999520e-01,2.305380e-05
0.400,-9.964380e-01,3.846830e-04
0.500,-9.741130e-01,8.537850e-04
0.600,-9.344790e-01,8.679120e-04
0.700,-8.922100e-01,7.726130e-04
0.800,-8.490760e-01,3.876680e-04
0.900,-8.047760e-01,3.015390e-04
1.000,-7.620980e-01,3.501320e-04
1.100,-7.208320e-01,3.012170e-04
1.200,-6.828850e-01,2.841980e-04
1.300,-6.463900e-01,2.662270e-04
1.400,-6.127980e-01,3.115190e-04
1.500,-5.826520e-01,2.841160e-04
1.600,-5.544890e-01,3.618380e-04
1.700,-5.283130e-01,3.178110e-04
1.800,-5.046640e-01,2.715420e-04
1.900,-4.826440e-01,2.493060e-04
2.000,-4.623850e-01,2.384430e-04
