0.300,9.999680e-01,1.677340e-05
0.400,9.610200e-01,2.183530e-02
0.500,9.017590e-01,1.212280e-02
0.600,6.483610e-01,1.551910e-02
0.700,4.456220e-01,7.458430e-03
0.800,2.846620e-01,6.486160e-03
0.900,2.008050e-01,3.662110e-03
1.000,1.447940e-01,3.217710e-03
1.100,1.120980e-01,2.742590e-03
1.200,8.381420e-02,2.399290e-03
1.300,7.019610e-02,1.497010e-03
1.400,5.826720e-02,1.166350e-03
1.500,5.020080e-02,7.999430e-04
1.600,4.245620e-02,1.060200e-03
1.700,3.844440e-02,9.107670e-04
1.800,3.513910e-02,1.142890e-03
1.900,2.935550e-02,1.034540e-03
2.000,2.804970e-02,9.083120e-04
