0.300,3.045110e-03,1.328510e-03
0.400,1.056700e-01,1.426640e-02
0.500,3.459110e-01,6.981000e-03
0.600,4.132850e-01,4.873680e-03
0.700,4.263350e-01,3.879460e-03
0.800,4.368940e-01,3.080710e-03
0.900,4.323840e-01,2.076030e-03
1.000,4.160260e-01,1.387900e-03
1.100,3.955950e-01,1.337810e-03
1.200,3.716010e-01,9.483440e-04
1.300,3.425450e-01,1.191600e-03
1.400,3.165000e-01,7.597250e-04
1.500,2.935210e-01,7.011570e-04
1.600,2.701770e-01,5.674900e-04
1.700,2.497220e-01,4.958100e-04
1.800,2.303180e-01,5.758570e-04
1.900,2.129720e-01,5.528850e-04
2.000,1.973200e-01,5.711800e-04
