#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
                   1             -1.0043             -1.0043                   0
                   2            -1.00339            -1.00385          0.00032213
                   3           -0.998067            -1.00192          0.00158746
                   4            -1.00327            -1.00226          0.00122598
                   5           -0.999044            -1.00161          0.00113681
                   6            -1.00348            -1.00192         0.000988757
                   7            -1.00005            -1.00166         0.000883206
                   8           -0.999769            -1.00142         0.000803684
                   9            -1.00636            -1.00197         0.000882123
                  10            -1.00256            -1.00203         0.000795856
                  11             -1.0034            -1.00215         0.000733268
                  12            -1.00431            -1.00233         0.000693849
                  13            -1.00164            -1.00228         0.000642506
                  14            -1.00648            -1.00258         0.000662941
                  15            -1.00259            -1.00258         0.000618745
                  16            -1.00794            -1.00291          0.00066452
                  17            -1.00651            -1.00313         0.000658157
                  18            -1.00177            -1.00305         0.000625902
                  19            -1.00921            -1.00337         0.000671648
                  20            -1.00313            -1.00336         0.000638173
