#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.262321    0.262321           0
           2    0.253635    0.257978  0.00307123
           3    0.334758    0.283571   0.0209969
           4    0.265679    0.279098   0.0162171
           5    0.323117    0.287902   0.0151763
           6    0.269238    0.284791   0.0129618
           7    0.298033    0.286683   0.0112473
           8    0.311084    0.289733   0.0102466
           9    0.229951    0.283091   0.0110534
          10    0.290131    0.283795  0.00997045
          11    0.260035    0.281635  0.00929506
          12    0.248105    0.278841  0.00893057
          13    0.284545    0.279279  0.00825438
          14    0.215798    0.274745  0.00882274
          15    0.301713    0.276543  0.00841574
          16    0.203018    0.271948  0.00905789
          17    0.211227    0.268376  0.00920239
          18    0.300351    0.270152  0.00886094
          19    0.178468    0.265327  0.00961918
          20    0.273432    0.265732  0.00914675
