#   N_BLOCK:  ACCEPTANCE:
           1    0.014148
           2   0.0142195
           3    0.015299
           4   0.0148418
           5   0.0152378
           6   0.0148782
           7    0.015103
           8   0.0153756
           9   0.0149408
          10   0.0149371
          11    0.014826
          12   0.0147256
          13     0.01479
          14   0.0145909
          15   0.0145805
          16   0.0143298
          17   0.0141846
          18   0.0142101
          19   0.0139654
          20   0.0139945
