#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     90.6514     90.6514           0
           2     89.6666      90.159    0.348162
           3     87.1275     89.1485    0.857112
           4     90.1066      89.388    0.675474
           5     87.5374     89.0179    0.633722
           6     90.5975     89.2812    0.580217
           7     88.0245     89.1017    0.524368
           8     86.9168     88.8285     0.52515
           9     92.4616     89.2322    0.602287
          10     88.6767     89.1767    0.544614
          11     90.2405     89.2734    0.503618
          12     90.3671     89.3645    0.469825
          13     88.7777     89.3194    0.435848
          14     91.7466     89.4927    0.437841
          15     90.1633     89.5374    0.410928
          16     93.1028     89.7603    0.441549
          17     91.8863     89.8853    0.432924
          18     90.2601     89.9062    0.409373
          19     93.5483     90.0979    0.430374
          20     89.3418     90.0601    0.410512
