#   N_BLOCK:  ACCEPTANCE:
           1    0.347465
           2    0.348647
           3     0.34875
           4     0.34871
           5    0.348396
           6    0.348361
           7    0.348127
           8    0.348266
           9    0.348526
          10    0.348159
          11    0.348136
          12    0.348173
          13    0.348033
          14    0.348128
          15    0.348071
          16    0.348071
          17     0.34807
          18    0.347936
          19    0.347952
          20    0.347999
