#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     3.84158     3.84158           0
           2     3.74957     3.79557   0.0325324
           3     3.65286       3.748   0.0444856
           4      3.7801     3.75603   0.0340804
           5     3.67458     3.73974   0.0309129
           6     3.77982     3.74642   0.0264724
           7     3.79061     3.75273   0.0234313
           8     3.67812     3.74341   0.0222813
           9     3.70564     3.73921   0.0201969
          10     3.85803     3.75109   0.0213886
          11     3.78261     3.75396   0.0196351
          12     3.66266     3.74635   0.0194168
          13     3.81711     3.75179   0.0186706
          14     3.82581     3.75708     0.01807
          15     3.71177     3.75406    0.017116
          16     3.77663     3.75547   0.0161043
          17     3.67361     3.75065   0.0158606
          18     3.82028     3.75452   0.0154439
          19     3.61459     3.74716   0.0162927
          20     3.74131     3.74686   0.0154807
