#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.345599    0.345599           0
           2    0.345788    0.345693 6.70485e-05
           3    0.343035    0.344807 0.000725049
           4     0.34689    0.345328 0.000706439
           5    0.349904    0.346243 0.000994796
           6    0.355153    0.347728  0.00158903
           7    0.354431    0.348686   0.0016251
           8    0.353107    0.349238  0.00151301
           9    0.348135    0.349116  0.00134985
          10     0.34473    0.348677  0.00128414
          11    0.353739    0.349137  0.00124712
          12    0.342696    0.348601  0.00125339
          13    0.353562    0.348982   0.0012137
          14    0.348619    0.348956  0.00112728
          15    0.355479    0.349391  0.00113289
          16    0.347782     0.34929  0.00106654
          17    0.343295    0.348938  0.00106051
          18     0.34921    0.348953   0.0010017
          19    0.351609    0.349093 0.000958686
          20     0.35675    0.349476  0.00098423
