#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
                   1           -0.649553           -0.649553                   0
                   2           -0.645695           -0.647624          0.00136408
                   3           -0.647472           -0.647574         0.000910328
                   4           -0.649973           -0.648174         0.000857907
                   5            -0.64987           -0.648513         0.000750411
                   6           -0.648626           -0.648532         0.000625578
                   7           -0.651027           -0.648888         0.000629674
                   8           -0.648182             -0.6488         0.000557116
                   9           -0.647089            -0.64861         0.000526643
                  10           -0.652205           -0.648969         0.000583935
                  11            -0.64954           -0.649021         0.000533152
                  12           -0.648017           -0.648938         0.000495249
                  13           -0.650604           -0.649066         0.000473452
                  14           -0.647586            -0.64896         0.000451282
                  15            -0.64923           -0.648978         0.000421557
                  16           -0.649127           -0.648987         0.000395312
                  17           -0.648099           -0.648935           0.0003755
                  18           -0.650632           -0.649029         0.000366286
                  19           -0.647911            -0.64897         0.000351708
                  20           -0.646516           -0.648848         0.000354885
