#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      166.66      166.66           0
           2     166.154     166.407    0.178898
           3     166.623     166.479     0.13302
           4     166.667     166.526    0.107739
           5     166.667     166.554   0.0898015
           6     166.667     166.573   0.0767748
           7     166.667     166.586   0.0669696
           8     166.662     166.596   0.0592698
           9     166.658     166.603   0.0530914
          10     166.667     166.609   0.0481671
          11     166.667     166.614   0.0440724
          12     166.667     166.619   0.0406155
          13     166.667     166.622   0.0376589
          14     166.667     166.625   0.0351019
          15      166.57     166.622   0.0329561
          16     166.662     166.624     0.03099
          17     166.431     166.613   0.0311792
          18     166.667     166.616   0.0295896
          19     166.666     166.619   0.0281495
          20     166.667     166.621   0.0268447
