#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
                   1            -1.01998            -1.01998                   0
                   2            -1.01961            -1.01979         0.000129966
                   3            -1.01992            -1.01983           9.352e-05
                   4               -1.02            -1.01988         7.87265e-05
                   5               -1.02             -1.0199         6.67643e-05
                   6               -1.02            -1.01992         5.76429e-05
                   7               -1.02            -1.01993         5.06007e-05
                   8            -1.01999            -1.01994         4.48007e-05
                   9            -1.01996            -1.01994         3.99227e-05
                  10               -1.02            -1.01995         3.63855e-05
                  11               -1.02            -1.01995         3.34123e-05
                  12               -1.02            -1.01995         3.08813e-05
                  13               -1.02            -1.01996         2.87022e-05
                  14               -1.02            -1.01996         2.68073e-05
                  15            -1.01986            -1.01995          2.5898e-05
                  16            -1.01998            -1.01996         2.43448e-05
                  17            -1.01974            -1.01994         2.61492e-05
                  18               -1.02            -1.01995         2.48871e-05
                  19               -1.02            -1.01995         2.37145e-05
                  20               -1.02            -1.01995         2.26663e-05
