#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
                   1           -0.462637           -0.462637                   0
                   2           -0.460829           -0.461733         0.000639437
                   3           -0.463426           -0.462297         0.000627753
                   4           -0.462787            -0.46242         0.000482625
                   5           -0.463669            -0.46267         0.000446061
                   6           -0.463734           -0.462847         0.000405433
                   7            -0.46401           -0.463013         0.000380037
                   8            -0.46387            -0.46312         0.000347296
                   9           -0.464786           -0.463305         0.000354634
                  10           -0.460485           -0.463023         0.000416481
                  11           -0.464223           -0.463132         0.000392631
                  12           -0.464159           -0.463218         0.000369111
                  13           -0.463765            -0.46326         0.000343113
                  14           -0.463522           -0.463279         0.000319115
                  15            -0.46294           -0.463256          0.00029864
                  16           -0.463566           -0.463275         0.000280602
                  17           -0.463759           -0.463304         0.000265533
                  18           -0.463083           -0.463292         0.000251066
                  19           -0.464357           -0.463348         0.000244038
                  20            -0.46241           -0.463301         0.000236299
