#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.199074    0.199074           0
           2    0.200756    0.199915 0.000594649
           3    0.202924    0.200918 0.000909736
           4    0.198514    0.200317 0.000858194
           5    0.197781     0.19981 0.000822881
           6    0.198849     0.19965 0.000701141
           7    0.196329    0.199175 0.000744366
           8    0.201421    0.199456 0.000702262
           9    0.195899    0.199061 0.000726998
          10    0.198832    0.199038 0.000654657
          11     0.19536    0.198704 0.000675155
          12    0.197608    0.198612 0.000625034
          13    0.196885    0.198479 0.000590911
          14    0.197711    0.198424 0.000551248
          15    0.196458    0.198293 0.000529855
          16    0.199361     0.19836 0.000500926
          17    0.196309    0.198239 0.000485775
          18    0.196888    0.198164 0.000464553
          19    0.193306    0.197909 0.000505593
          20    0.199674    0.197997  0.00048796
