#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.35197     1.35197           0
           2     1.36591     1.35894  0.00492783
           3     1.37364     1.36384  0.00517702
           4      1.3729     1.36611  0.00435018
           5     1.38521     1.36993  0.00487746
           6     1.38519     1.37247  0.00468083
           7     1.39443     1.37561   0.0049529
           8      1.3558     1.37313  0.00491381
           9     1.41631     1.37793  0.00628791
          10     1.34814     1.37495  0.00632567
          11     1.37112      1.3746   0.0057602
          12     1.39073     1.37595  0.00543466
          13     1.38733     1.37682  0.00508669
          14     1.37544     1.37672  0.00472431
          15     1.36628     1.37603  0.00446037
          16     1.38258     1.37644  0.00420037
          17     1.40302       1.378  0.00423432
          18     1.41733     1.38019  0.00452775
          19     1.37428     1.37987   0.0043001
          20     1.36976     1.37937  0.00411471
