#   N_BLOCK:  ACCEPTANCE:
           1     0.53353
           2    0.534153
           3    0.533938
           4    0.534022
           5    0.534038
           6     0.53386
           7    0.533738
           8    0.533744
           9    0.533604
          10    0.533746
          11    0.533676
          12    0.533534
          13     0.53352
          14      0.5336
          15    0.533585
          16    0.533569
          17    0.533578
          18    0.533569
          19    0.533484
          20    0.533477
