#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1            0.028262            0.028262                   0
                   2            0.027432            0.027847         0.000293449
                   3            0.018704           0.0247993          0.00249609
                   4            0.029972           0.0260925          0.00218148
                   5            0.033628           0.0275996          0.00220516
                   6            0.034276           0.0287123          0.00209969
                   7            0.031898           0.0291674           0.0018484
                   8            0.025494           0.0287083          0.00167341
                   9            0.031916           0.0290647          0.00152496
                  10             0.02345           0.0285032           0.0014722
                  11             0.02333           0.0280329          0.00141149
                  12            0.025136           0.0277915          0.00131434
                  13            0.027072           0.0277362          0.00121441
                  14            0.029702           0.0278766          0.00113575
                  15            0.025792           0.0277376           0.0010685
                  16            0.027902           0.0277479          0.00100177
                  17            0.032346           0.0280184         0.000978677
                  18            0.024326           0.0278132         0.000945559
                  19            0.034068           0.0281424         0.000951374
                  20            0.026288           0.0280497         0.000908312
