#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1   0.0474536   0.0474536           0
           2   0.0477935   0.0476235 0.000120159
           3   0.0536964   0.0496478  0.00165475
           4   0.0309914   0.0449837   0.0042256
           5    0.033588   0.0427046  0.00394755
           6   0.0422514    0.042629  0.00329035
           7    0.108593   0.0520525  0.00916892
           8   0.0581614   0.0528161  0.00805454
           9   0.0400549   0.0513982  0.00728333
          10   0.0354246   0.0498008  0.00672788
          11   0.0159102   0.0467198  0.00678513
          12   0.0538106   0.0473107  0.00624538
          13   0.0268218   0.0457347  0.00596051
          14   0.0304597   0.0446436  0.00563374
          15   0.0173707   0.0428254  0.00554379
          16    0.105564   0.0467466  0.00643635
          17    0.134343   0.0518993    0.007854
          18   0.0369948   0.0510713  0.00746118
          19   0.0676573   0.0519442  0.00711937
          20  0.00959611   0.0498268  0.00707127
