#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
                   1            -1.01819            -1.01819                   0
                   2            -1.01819            -1.01819         1.84016e-07
                   3            -1.01804            -1.01814         4.02861e-05
                   4            -1.01891            -1.01833          0.00016842
                   5            -1.01879            -1.01842         0.000158101
                   6            -1.01846            -1.01843         0.000131846
                   7            -1.01591            -1.01807         0.000352461
                   8            -1.01785            -1.01804         0.000309488
                   9            -1.01848            -1.01809         0.000278977
                  10            -1.01866            -1.01815         0.000256741
                  11            -1.01939            -1.01826         0.000257008
                  12            -1.01794            -1.01823         0.000236956
                  13            -1.01896            -1.01829         0.000225302
                  14            -1.01885            -1.01833         0.000212693
                  15            -1.01933             -1.0184         0.000208683
                  16            -1.01552            -1.01822         0.000261791
                  17            -1.01433            -1.01799          0.00033144
                  18            -1.01858            -1.01802         0.000314671
                  19            -1.01761              -1.018         0.000298851
                  20            -1.01964            -1.01808         0.000294902
