#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     123.807     123.807           0
           2     123.815     123.811  0.00281074
           3     123.449     123.691   0.0985758
           4     124.126     123.799    0.119731
           5     124.068     123.853     0.10716
           6     123.773      123.84   0.0901339
           7     121.529      123.51    0.315169
           8     123.393     123.495    0.276111
           9     124.057     123.557    0.252385
          10     124.259     123.628    0.236703
          11      124.71     123.726    0.234734
          12      123.64     123.719    0.215283
          13     124.489     123.778    0.206723
          14     124.298     123.815    0.195262
          15     124.702     123.874    0.190977
          16      122.73     123.803     0.19197
          17     121.176     123.648    0.234778
          18     124.167     123.677    0.223498
          19     122.934     123.638    0.215125
          20       124.8     123.696     0.21207
