#   N_BLOCK:  ACCEPTANCE:
           1    0.001718
           2    0.001681
           3    0.001678
           4   0.0014925
           5      0.0014
           6  0.00137533
           7    0.001686
           8   0.0017015
           9  0.00166244
          10   0.0016188
          11  0.00151982
          12    0.001543
          13  0.00149831
          14  0.00145914
          15  0.00140133
          16  0.00146606
          17  0.00158129
          18  0.00156556
          19  0.00158705
          20   0.0015239
