#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     11.8379     11.8379           0
           2     11.9711     11.9045   0.0470729
           3     12.1298     11.9796   0.0688763
           4     11.9775     11.9791   0.0516592
           5     12.1252     12.0083   0.0488984
           6     12.0261     12.0113   0.0408387
           7     12.1241     12.0274   0.0380554
           8     11.4718     11.9579   0.0730032
           9     12.1936     11.9841   0.0694275
          10     12.2537     12.0111    0.067516
          11     12.3983     12.0463   0.0699575
          12       12.33     12.0699    0.068006
          13     11.7901     12.0484   0.0660943
          14     11.9646     12.0424    0.061644
          15     11.6368     12.0154   0.0631886
          16     11.9874     12.0136   0.0592636
          17     11.2376      11.968   0.0712211
          18       11.76     11.9564   0.0681952
          19     11.5932     11.9373   0.0672319
          20     12.7204     11.9764    0.074404
