#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
                   1           -0.812151           -0.812151                   0
                   2           -0.814551           -0.813351          0.00084874
                   3           -0.812425           -0.813042         0.000619383
                   4            -0.81509           -0.813554         0.000642184
                   5           -0.815579           -0.813959         0.000628581
                   6           -0.815499           -0.814216         0.000573783
                   7            -0.81447           -0.814252         0.000492961
                   8            -0.80899           -0.813595         0.000751385
                   9           -0.814581           -0.813704          0.00067584
                  10           -0.815414           -0.813875         0.000629507
                  11            -0.81401           -0.813887         0.000572399
                  12           -0.815052           -0.813984         0.000532864
                  13           -0.812514           -0.813871         0.000503741
                  14           -0.813093           -0.813816          0.00047082
                  15           -0.811411           -0.813655         0.000465933
                  16           -0.814473           -0.813706         0.000439606
                  17           -0.810017           -0.813489          0.00046423
                  18           -0.813133            -0.81347         0.000438862
                  19           -0.812743           -0.813431         0.000417427
                  20           -0.814594           -0.813489         0.000400584
