#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.486755    0.486755           0
           2    0.457059    0.471907   0.0104992
           3    0.463086    0.468967  0.00739971
           4    0.468872    0.468943  0.00554982
           5    0.476918    0.470538  0.00466345
           6    0.472072    0.470794  0.00389321
           7    0.457982    0.468963  0.00374261
           8    0.480587    0.470416   0.0035456
           9    0.466001    0.469926  0.00318541
          10    0.454802    0.468413  0.00320586
          11    0.489681    0.470347  0.00344848
          12    0.467049    0.470072  0.00317203
          13    0.455354     0.46894  0.00312353
          14    0.481528    0.469839  0.00302707
          15     0.47117    0.469928  0.00282656
          16    0.488299    0.471076  0.00287366
          17     0.47057    0.471046  0.00270477
          18    0.481322    0.471617  0.00261406
          19    0.459183    0.470963  0.00255708
          20    0.473966    0.471113  0.00243363
