#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.22207     2.22207           0
           2     2.16139     2.19173   0.0214545
           3     2.23086     2.20477   0.0178314
           4     2.22626     2.21014   0.0141593
           5      2.2648     2.22108   0.0149638
           6     2.18707     2.21541   0.0135004
           7     2.26502      2.2225   0.0133025
           8     2.19539     2.21911   0.0120635
           9     2.20027     2.21701   0.0109032
          10     2.19647     2.21496   0.0100046
          11     2.19098     2.21278  0.00932952
          12     2.25757     2.21651   0.0092687
          13      2.2294      2.2175  0.00860856
          14     2.25051     2.21986  0.00831024
          15     2.18545     2.21757  0.00806669
          16     2.22632     2.21811  0.00758104
          17     2.22451     2.21849  0.00714444
          18     2.24083     2.21973  0.00685448
          19      2.2585     2.22177  0.00679068
          20      2.1954     2.22045  0.00657794
