#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
                   1           -0.557129           -0.557129                   0
                   2           -0.552316           -0.554723          0.00170165
                   3           -0.557222           -0.555556          0.00132271
                   4           -0.557956           -0.556156          0.00111988
                   5           -0.556583           -0.556241         0.000899164
                   6           -0.553949           -0.555859         0.000826508
                   7           -0.560269           -0.556489         0.000917626
                   8           -0.554435           -0.556232         0.000838088
                   9            -0.55626           -0.556235         0.000744973
                  10           -0.554647           -0.556077         0.000687191
                  11           -0.556198           -0.556088         0.000624808
                  12           -0.558018           -0.556249         0.000593087
                  13           -0.556595           -0.556275         0.000548062
                  14           -0.557162           -0.556338          0.00051256
                  15           -0.555122           -0.556257         0.000484759
                  16           -0.556575           -0.556277         0.000454867
                  17           -0.557879           -0.556371          0.00043776
                  18           -0.558351           -0.556481         0.000427031
                  19           -0.558214           -0.556573         0.000414174
                  20           -0.555459           -0.556517         0.000397189
