#   N_BLOCK:  ACCEPTANCE:
           1     0.43988
           2    0.441453
           3    0.440891
           4    0.440661
           5    0.440687
           6    0.440745
           7    0.440316
           8    0.440478
           9    0.440478
          10     0.44057
          11    0.440451
          12    0.440328
          13    0.440365
          14    0.440425
          15    0.440452
          16    0.440409
          17    0.440397
          18    0.440318
          19    0.440216
          20     0.44022
