# GEN: 	 LUNGHEZZA DEL MIGLIORE: 	 LUNGHEZZA MEDIA:
1	433.365	501.139
2	412.366	471.939
3	401.586	448.284
4	393.158	432.534
5	382.743	418.661
6	376.356	406.818
7	360.141	398.815
8	359.837	389.318
9	357.615	379.321
10	346.227	372.55
11	333.758	366.87
12	328.652	361.165
13	326.812	354.168
14	321.877	347.842
15	319.122	340.454
16	310.33	334.127
17	310.543	328.841
18	304.901	323.597
19	299.731	318.996
20	295.411	315.878
21	287.411	311.002
22	285.652	305.848
23	278.823	302.847
24	278.823	297.955
25	276.278	293.2
26	274.04	287.536
27	270.349	282.942
28	267.859	278.998
29	264.168	276.173
30	262.816	273.06
31	255.462	270.28
32	249.361	268.043
33	247.885	264.875
34	245.656	259.981
35	241.774	254.783
36	233.639	250.313
37	234.427	247.203
38	234.427	244.869
39	231.228	242.472
40	228.938	241.165
41	224.589	240.463
42	220.489	238.598
43	218.906	235.672
44	214.673	231.822
45	214.358	226.779
46	211.691	222.667
47	209.957	219.882
48	208.711	216.803
49	206.085	214.483
50	204.035	211.978
51	198.9	210.148
52	198.188	207.786
53	197.66	205.146
54	193.905	202.675
55	191.799	200.593
56	191.799	198.635
57	190.032	196.035
58	188.392	194.519
59	187.822	193.506
60	188.392	192.813
61	185.877	191.194
62	185.877	190.058
63	181.885	189.373
64	180.629	188.186
65	177.059	186.914
66	175.574	184.834
67	173.157	182.845
68	173.157	180.732
69	171.404	178.323
70	171.404	177.205
71	171.073	175.016
72	168.349	173.287
73	167.429	171.808
74	164.38	170.44
75	164.38	169.08
76	164.125	167.651
77	161.646	166.477
78	160.512	164.752
79	158.378	163.426
80	156.997	162.182
81	156.997	160.628
82	156.997	159.26
83	155.931	158.552
84	154.954	157.774
85	154.954	157.196
86	154.422	156.505
87	153.743	156.024
88	152.622	155.488
89	152.117	154.984
90	151.705	154.408
91	151.402	153.91
92	150.494	153.152
93	150.399	152.764
94	147.822	152.3
95	147.236	151.726
96	145.752	150.752
97	145.957	149.742
98	144.798	148.392
99	143.87	147.355
100	143.87	146.227
101	143.12	145.142
102	141.528	144.715
103	141.221	145.078
104	141.221	146.318
105	140.437	147.061
106	140.407	147.669
107	139.855	149.312
108	138.426	146.685
109	138.426	144.873
110	138.169	142.617
111	138.169	141.649
112	138.169	140.324
113	137.346	139.185
114	135.378	138.668
115	134.539	137.982
116	132.997	137.401
117	132.324	136.455
118	132.324	135.339
119	132.324	134.098
120	130.791	133.491
121	130.791	132.897
122	130.661	132.822
123	129.769	132.546
124	129.639	132.029
125	129.491	131.863
126	128.469	131.489
127	128.469	130.487
128	127.944	129.973
129	127.492	129.269
130	125.45	128.855
131	125.114	128.316
132	125.003	127.352
133	124.867	126.918
134	124.702	126.326
135	124.34	125.928
136	124.34	125.378
137	123.439	125.109
138	123.439	124.763
139	123.439	124.326
140	123.296	123.975
141	122.834	123.639
142	122.834	123.412
143	122.834	123.203
144	121.556	123.005
145	121.399	122.764
146	120.841	122.391
147	120.685	121.826
148	119.747	121.278
149	119.279	120.929
150	119.033	120.556
151	118.859	120.174
152	117.649	119.773
153	117.207	119.334
154	117.207	118.741
155	117.207	118.038
156	116.672	117.574
157	116.672	117.319
158	116.167	117.135
159	116.167	116.956
160	115.632	116.682
161	115.632	116.479
162	113.966	116.286
163	113.325	116.001
164	112.91	115.743
165	112.542	114.857
166	112.339	114.191
167	111.938	113.693
168	111.735	112.914
169	111.542	112.621
170	111.091	112.386
171	110.143	112.24
172	109.902	111.892
173	109.902	111.525
174	109.863	111.109
175	109.556	110.532
176	109.342	110.421
177	109.213	110.64
178	109.111	110.705
179	108.419	110.363
180	108.211	110.362
181	107.502	110.248
182	107.37	110.272
183	105.822	110.198
184	105.768	110.38
185	105.659	109.769
186	105.52	109.029
187	104.005	108.196
188	104.65	107.778
189	104.005	107.251
190	103.877	106.699
191	103.903	105.84
192	103.782	105.334
193	103.171	104.543
194	102.913	104.343
195	102.913	104.107
196	102.465	103.745
197	102.268	103.521
198	101.786	103.482
199	101.786	103.421
200	101.786	103.013
201	101.786	102.84
202	101.786	102.636
203	100.139	101.97
204	101.083	101.846
205	101.083	101.704
206	101.083	101.596
207	101.083	101.383
208	101.083	101.174
209	100.697	101.094
210	100.697	101.068
211	99.706	101.01
212	99.706	101.025
213	99.4417	100.761
214	98.6151	100.399
215	98.3981	99.9043
216	98.1338	99.5541
217	97.3519	99.2013
218	97.0876	98.8661
219	97.0876	98.4565
220	95.8135	98.02
221	95.8135	97.4951
222	93.9688	97.0259
223	93.8867	96.5726
224	93.483	95.4394
225	93.483	94.7033
226	93.483	94.4176
227	93.2702	94.0016
228	93.2702	93.6316
229	93.2702	93.5017
230	93.2702	93.4155
231	93.2702	93.3392
232	93.2702	93.2919
233	92.5729	93.2815
234	92.5729	93.2849
235	92.5729	93.4097
236	92.5729	94.0841
237	92.5729	95.5
238	92.4507	95.8083
239	92.3593	95.2199
240	92.4188	95.0657
241	91.088	94.4661
242	91.088	94.0654
243	90.951	93.3321
244	90.951	92.9578
245	90.951	92.5769
246	90.951	92.0255
247	90.951	91.496
248	90.951	91.1611
249	90.951	91.0296
250	90.951	90.954
251	90.951	90.9511
252	90.951	90.951
253	90.951	90.951
254	90.951	90.951
255	90.951	90.951
256	90.8778	90.9508
257	90.0511	90.9392
258	89.2534	90.9217
259	89.2534	91.2964
260	89.2534	91.9972
261	89.1835	92.547
262	87.3945	93.2824
263	86.8577	92.6111
264	86.8577	91.9387
265	86.6991	91.6451
266	86.6991	91.0083
267	86.6991	89.6692
268	86.6991	88.8807
269	86.6991	88.1948
270	86.6991	87.9141
271	86.6991	87.5722
272	86.6991	87.3898
273	86.6991	86.9816
274	86.3113	87.0224
275	86.3113	87.5548
276	86.3113	88.0636
277	86.3113	89.1819
278	86.3113	91.6369
279	85.9348	93.0814
280	85.9348	93.3419
281	85.5871	93.001
282	85.5871	92.0501
283	85.5871	90.9624
284	85.569	89.7121
285	85.569	87.6707
286	85.569	86.5488
287	85.2544	85.765
288	85.2544	85.6901
289	85.2362	85.775
290	85.0021	85.7657
291	84.8844	85.9492
292	84.8844	85.7485
293	84.8844	85.6367
294	84.0904	85.9013
295	84.0904	86.5329
296	84.0904	87.0694
297	84.0904	86.7933
298	83.8382	86.8292
299	83.8382	86.7494
300	83.8382	86.852
301	83.8382	86.6618
302	83.8382	85.9699
303	83.8382	85.3885
304	83.8382	84.7886
305	83.8382	84.8088
306	83.7794	84.5762
307	83.689	84.0584
308	83.689	83.9583
309	83.3993	83.7872
310	83.0991	83.7053
311	83.0991	83.789
312	83.0991	83.7507
313	82.8437	83.814
314	82.8437	83.8198
315	82.8437	84.1801
316	82.8437	85.3234
317	82.8437	85.6078
318	82.8437	85.9246
319	82.8437	85.4978
320	82.8437	84.1776
321	82.8437	83.7606
322	82.8437	83.243
323	82.8437	82.9447
324	82.8437	82.8437
325	82.8437	82.8437
326	82.8437	82.8437
327	82.8437	82.8437
328	82.8437	82.8437
329	82.8437	82.8437
330	82.0364	82.829
331	82.4054	82.7953
332	82.0364	82.7735
333	81.4086	82.7994
334	81.4086	82.5812
335	81.4086	82.4456
336	81.4086	82.0923
337	81.4086	81.6071
338	81.4086	81.5305
339	81.4086	81.4136
340	81.4086	81.4086
341	81.4086	81.4086
342	80.9522	81.384
343	80.9522	81.2826
344	80.9522	81.1284
345	80.9522	81.0066
346	80.7465	80.945
347	80.7465	80.8917
348	80.7465	80.8333
349	80.7465	80.7976
350	80.5641	80.767
351	80.5641	80.734
352	80.5641	80.6884
353	80.5641	80.6485
354	80.5641	80.6564
355	80.5641	80.5859
356	80.5641	80.5665
357	80.4802	80.5874
358	80.4802	80.9125
359	80.4802	81.1806
360	80.4802	81.3294
361	80.4802	81.2782
362	80.4407	80.8275
363	80.4802	80.6531
364	80.4802	80.6419
365	80.4802	80.4802
366	79.9427	80.4836
367	79.9427	80.8401
368	79.9427	81.087
369	79.9427	81.9995
370	79.9427	82.48
371	79.9427	83.3494
372	79.7785	82.1667
373	79.7785	81.4128
374	79.7785	81.0546
375	79.7785	80.6626
376	79.7785	79.9212
377	79.7785	79.8015
378	79.7785	79.7878
379	79.7785	79.7785
380	79.7785	79.7785
381	79.7785	79.7785
382	79.7785	79.7785
383	79.7785	79.7785
384	79.7785	79.7785
385	79.7785	79.7785
386	79.7785	79.7785
387	79.7785	79.7785
388	79.6375	79.7782
389	79.6375	79.7711
390	79.6375	79.7441
391	79.6375	79.7049
392	79.6375	79.6691
393	79.6375	79.6465
394	79.4795	79.6309
395	79.4795	79.6072
396	79.4795	79.5695
397	79.4795	79.5252
398	79.3765	79.5013
399	79.2595	79.4589
400	79.2595	79.4191
401	79.2595	79.3717
402	73.0555	79.1075
403	73.0555	79.3875
404	73.0555	80.3426
405	73.0555	80.0045
406	73.0555	79.2913
407	72.4795	78.1698
408	72.4795	76.3013
409	72.4795	74.8062
410	72.4795	74.2139
411	72.4795	73.6871
412	72.4795	73.0403
413	72.4795	72.9146
414	72.4795	72.5841
415	72.4795	72.5164
416	72.4795	72.4836
417	72.0105	72.4766
418	72.0105	72.3772
419	72.0105	72.2451
420	72.0105	72.1242
421	72.0105	72.0582
422	71.8567	72.0109
423	71.8567	71.9843
424	71.8567	71.9425
425	71.8567	71.9108
426	71.8567	71.8742
427	71.8567	71.8567
428	71.8567	71.8567
429	71.8567	71.8567
430	71.8567	71.8567
431	71.8567	71.8567
432	71.5302	71.8394
433	71.4891	71.7828
434	71.393	71.6962
435	71.393	71.5776
436	71.2663	71.4768
437	71.2663	71.4177
438	71.2663	71.3688
439	71.0412	71.3153
440	71.0412	71.2377
441	71.0412	71.1499
442	71.0412	71.104
443	71.0412	71.0506
444	71.0412	71.0412
445	71.0412	71.0412
446	71.0412	71.0412
447	71.0412	71.0412
448	71.0412	71.0412
449	71.0412	71.0412
450	71.0412	71.0412
451	71.0412	71.0412
452	71.0412	71.0412
453	71.0412	71.0412
454	71.0412	71.0412
455	71.0412	71.0412
456	71.0412	71.0412
457	71.0412	71.0412
458	71.0412	71.0412
459	71.0412	71.0412
460	71.0412	71.0412
461	71.0412	71.0412
462	71.0412	71.0412
463	71.0412	71.0412
464	71.0412	71.0412
465	71.0412	71.0412
466	71.0412	71.0412
467	71.0412	71.0412
468	71.0412	71.0412
469	71.0412	71.0412
470	71.0412	71.0412
471	71.0412	71.0412
472	71.0412	71.0412
473	71.0412	71.0412
474	71.0412	71.0412
475	71.0412	71.0412
476	71.0412	71.0412
477	71.0412	71.0412
478	71.0412	71.0412
479	71.0412	71.0412
480	71.0412	71.0412
481	71.0412	71.0412
482	71.0412	71.0412
483	71.0412	71.0412
484	71.0412	71.0412
485	71.0412	71.0412
486	71.0412	71.0412
487	71.0412	71.0412
488	71.0412	71.0412
489	71.0412	71.0412
490	71.0412	71.0412
491	71.0412	71.0412
492	71.0412	71.0412
493	71.0412	71.0412
494	71.0412	71.0412
495	71.0412	71.0412
