#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.497431    0.497431           0
           2    0.493429     0.49543  0.00141504
           3    0.533908    0.508256   0.0105148
           4    0.509697    0.508616   0.0078923
           5    0.511617    0.509216  0.00633661
           6    0.535805    0.513648  0.00665192
           7    0.476889    0.508397  0.00749301
           8    0.479862     0.50483  0.00735649
           9    0.512934     0.50573  0.00659398
          10    0.494941    0.504651   0.0060222
          11    0.495804    0.503847  0.00552818
          12    0.484079      0.5022  0.00530726
          13    0.504417     0.50237  0.00490175
          14     0.51773    0.503467   0.0046728
          15    0.473375    0.501461  0.00477255
          16    0.505657    0.501723  0.00448146
          17    0.512614    0.502364  0.00426339
          18    0.524908    0.503616  0.00420647
          19    0.488274    0.502809  0.00406185
          20    0.502407    0.502789  0.00385881
