#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
                   1           -0.863398           -0.863398                   0
                   2           -0.861789           -0.862593         0.000568853
                   3           -0.859073            -0.86142          0.00103039
                   4            -0.86342            -0.86192         0.000885923
                   5           -0.864064           -0.862349         0.000805843
                   6           -0.864267           -0.862668         0.000732218
                   7           -0.861098           -0.862444         0.000661081
                   8           -0.855677           -0.861598          0.00098013
                   9           -0.862675           -0.861718         0.000878501
                  10           -0.860481           -0.861594         0.000799314
                  11           -0.860395           -0.861485          0.00073404
                  12           -0.861487           -0.861485          0.00067287
                  13           -0.861432           -0.861481         0.000621124
                  14           -0.857693           -0.861211          0.00063295
                  15           -0.858227           -0.861012         0.000621227
                  16           -0.868233           -0.861463         0.000728106
                  17           -0.858023           -0.861261         0.000712837
                  18           -0.865222           -0.861481         0.000706385
                  19           -0.867742            -0.86181         0.000742094
                  20            -0.86145           -0.861792         0.000705207
