#   N_BLOCK:  ACCEPTANCE:
           1    0.139871
           2     0.14004
           3    0.141297
           4    0.140811
           5    0.140485
           6    0.140144
           7    0.140222
           8    0.140867
           9    0.140866
          10    0.140979
          11    0.141104
          12    0.141031
          13    0.141001
          14     0.14124
          15    0.141385
          16    0.140952
          17    0.141083
          18    0.140928
          19    0.140624
          20    0.140642
