#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.59731     1.59731           0
           2     1.59734     1.59733 1.06135e-05
           3     1.59717     1.59728  4.1827e-05
           4     1.59709     1.59723 5.12671e-05
           5     1.59724     1.59723 4.10728e-05
           6     1.59735     1.59725 3.84937e-05
           7     1.59726     1.59725 3.30184e-05
           8     1.59738     1.59727 3.25246e-05
           9     1.59739     1.59728 3.16339e-05
          10     1.59731     1.59728 2.85621e-05
          11     1.59725     1.59728 2.61837e-05
          12     1.59722     1.59728 2.44914e-05
          13     1.59721     1.59727 2.31859e-05
          14     1.59725     1.59727 2.15743e-05
          15     1.59729     1.59727 2.01705e-05
          16     1.59733     1.59727 1.92986e-05
          17     1.59725     1.59727 1.81996e-05
          18     1.59718     1.59727 1.78661e-05
          19     1.59701     1.59725 2.13308e-05
          20      1.5973     1.59726 2.03623e-05
          21     1.59717     1.59725 1.97879e-05
          22     1.59727     1.59725 1.89151e-05
          23      1.5973     1.59726 1.81947e-05
          24     1.59724     1.59725 1.74462e-05
          25     1.59722     1.59725 1.68008e-05
          26     1.59733     1.59726 1.64028e-05
          27     1.59739     1.59726 1.64982e-05
          28     1.59725     1.59726 1.59151e-05
          29     1.59729     1.59726 1.54059e-05
          30     1.59728     1.59726 1.49067e-05
