#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0593657   0.0593657           0
           2   0.0573427   0.0583542 0.000715253
           3   0.0550412   0.0572498  0.00102001
           4   0.0583842   0.0575334  0.00080346
           5   0.0547936   0.0569855 0.000808311
           6   0.0535362   0.0564106 0.000853889
           7   0.0556426   0.0563009 0.000738918
           8   0.0566907   0.0563496 0.000648158
           9   0.0541557   0.0561058 0.000620288
          10   0.0551116   0.0560064 0.000566171
          11   0.0565511   0.0560559 0.000516862
          12   0.0584042   0.0562516 0.000509491
          13   0.0551591   0.0561676  0.00047718
          14   0.0540428   0.0560158 0.000466609
          15   0.0564068   0.0560419 0.000436229
          16   0.0548464   0.0559672 0.000415314
          17   0.0580156   0.0560877  0.00040799
          18   0.0571754   0.0561481 0.000389773
          19    0.055944   0.0561373 0.000369407
          20   0.0571119   0.0561861 0.000354136
          21   0.0558663   0.0561708 0.000337599
          22   0.0536062   0.0560543 0.000341789
          23   0.0557043   0.0560391 0.000327267
          24   0.0574547    0.056098 0.000318902
          25   0.0578307   0.0561673 0.000313587
          26   0.0570582   0.0562016 0.000303392
          27    0.055274   0.0561673 0.000294094
          28   0.0577429   0.0562235 0.000288925
          29   0.0546157   0.0561681 0.000284231
          30   0.0547991   0.0561225 0.000278396
