#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     2.00336     2.00336           0
           2      1.9326     1.96798   0.0250184
           3     1.91266     1.94954   0.0224702
           4     2.04078     1.97235   0.0259661
           5     2.00704     1.97929     0.02168
           6     2.00743     1.98398   0.0185671
           7     2.00718     1.98729   0.0162077
           8     1.97168     1.98534   0.0142988
           9     1.95039     1.98146   0.0132268
          10     1.93419     1.97673   0.0127209
          11     1.96935     1.97606   0.0115821
          12     1.99384     1.97754   0.0107113
          13     1.95787     1.97603  0.00999364
          14      1.9781     1.97618   0.0092809
          15     1.96495     1.97543  0.00869228
          16     1.98052     1.97575  0.00815483
          17     1.96589     1.97517  0.00769569
          18     1.94169     1.97331  0.00748952
          19     1.97254     1.97327  0.00709544
          20     1.98257     1.97373  0.00675589
          21     2.01567     1.97573  0.00672282
          22     1.96975     1.97546  0.00642273
          23     1.97793     1.97556  0.00614439
          24     1.96587     1.97516  0.00590162
          25      1.9805     1.97537  0.00566941
          26      2.0316     1.97754  0.00584925
          27     1.97401     1.97741  0.00563406
          28     2.00786     1.97849  0.00553686
          29     1.96968     1.97819  0.00535426
          30     1.97794     1.97818  0.00517579
