#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.33558     1.33558           0
           2      1.2884     1.31199   0.0166789
           3     1.27511     1.29969   0.0149801
           4     1.36052      1.3149   0.0173108
           5     1.33803     1.31953   0.0144533
           6     1.33829     1.32265   0.0123781
           7     1.33812     1.32486   0.0108051
           8     1.31445     1.32356  0.00953254
           9     1.30026     1.32097   0.0088179
          10     1.28946     1.31782   0.0084806
          11      1.3129     1.31737  0.00772142
          12     1.32922     1.31836  0.00714084
          13     1.30525     1.31735  0.00666243
          14     1.31873     1.31745  0.00618727
          15     1.30997     1.31695  0.00579485
          16     1.32034     1.31716  0.00543655
          17      1.3106     1.31678  0.00513046
          18     1.29446     1.31554  0.00499301
          19     1.31503     1.31551  0.00473029
          20     1.32171     1.31582  0.00450393
          21     1.34378     1.31715  0.00448188
          22     1.31316     1.31697  0.00428182
          23     1.31862     1.31704  0.00409626
          24     1.31058     1.31677  0.00393441
          25     1.32033     1.31692  0.00377961
          26      1.3544     1.31836   0.0038995
          27     1.31601     1.31827  0.00375604
          28     1.33858       1.319  0.00369124
          29     1.31312     1.31879   0.0035695
          30     1.31863     1.31879  0.00345053
