#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.406053   -0.406053           0
           2    -0.33526   -0.370656    0.025029
           3   -0.315483   -0.352265   0.0224479
           4   -0.443693   -0.375122   0.0259861
           5     -0.4098   -0.382058   0.0216947
           6   -0.410085   -0.386729    0.018575
           7   -0.409915   -0.390041   0.0162141
           8   -0.374297   -0.388073   0.0143063
           9   -0.353001   -0.384176   0.0132368
          10    -0.33688   -0.379447   0.0127301
          11   -0.372107   -0.378779   0.0115903
          12   -0.396616   -0.380266   0.0107193
          13   -0.360663   -0.378758   0.0100002
          14   -0.380846   -0.378907  0.00928705
          15   -0.367667   -0.378158  0.00869809
          16   -0.383183   -0.378472  0.00816013
          17   -0.368641   -0.377893  0.00770058
          18   -0.344507   -0.376039  0.00749283
          19   -0.375526   -0.376012  0.00709851
          20   -0.385272   -0.376475  0.00675867
          21   -0.418493   -0.378476   0.0067265
          22   -0.372471   -0.378203  0.00642628
          23   -0.380634   -0.378308  0.00614775
          24   -0.368633   -0.377905  0.00590479
          25   -0.383275    -0.37812  0.00567251
          26   -0.434269    -0.38028  0.00585099
          27   -0.376624   -0.380144  0.00563585
          28   -0.410614   -0.381232  0.00553864
          29   -0.372392   -0.380928  0.00535603
          30   -0.380663   -0.380919  0.00517751
