# GEN: 	 LUNGHEZZA DEL MIGLIORE: 	 LUNGHEZZA MEDIA:
1	444.673	504.687
2	436.117	483.703
3	421.266	464.059
4	412.002	447.182
5	400.914	437.436
6	391.463	426.688
7	387.059	415.008
8	366.564	405.532
9	359.203	397.279
10	351.034	388.364
11	348.291	381.322
12	345.586	374.646
13	335.172	368.384
14	335.172	362.849
15	329.772	354.88
16	325.305	347.907
17	323.74	343.275
18	319.779	338.52
19	315.083	335.383
20	312.436	331.501
21	309.242	328.845
22	304.261	325.168
23	305.572	321.342
24	297.327	318.523
25	294.521	315.1
26	293.555	311.048
27	289.56	306.523
28	286.629	302.198
29	283.922	299.509
30	282.454	297.222
31	277.176	294.014
32	269.01	290.92
33	266.193	286.844
34	265.282	280.717
35	265.242	275.409
36	263.205	272.405
37	257.324	268.837
38	255.144	266.536
39	250.464	264.078
40	249.958	260.958
41	248.133	257.272
42	245.101	254.429
43	242.77	252.83
44	240.99	251.509
45	238.028	250.891
46	233.466	250.39
47	231.197	247.629
48	230.992	245.128
49	228.876	242.021
50	228.506	239.845
51	221.783	236.445
52	220.217	233.976
53	215.834	231.555
54	215.834	228.806
55	214.953	225.151
56	214.466	221.644
57	213.897	219.117
58	209.386	216.708
59	207.243	214.945
60	207.243	214.271
61	204.203	214.024
62	203.798	213.185
63	201.535	211.743
64	200.783	210.338
65	197.672	208.851
66	196.477	206.605
67	193.057	205.01
68	192.075	203.124
69	192.075	199.899
70	191.904	197.478
71	189.002	195.533
72	187.438	193.382
73	186.111	191.843
74	184.623	190.726
75	184.331	189.632
76	182.85	188.138
77	181.54	186.909
78	178.188	185.559
79	176.035	184.093
80	174.825	182.271
81	173.779	180.19
82	172.731	178.928
83	171.1	177.297
84	170.251	176.584
85	170.036	175.191
86	168.898	174.515
87	168.272	173.017
88	166.45	172.072
89	163.945	170.601
90	161.393	169.083
91	160.267	167.691
92	159.204	165.88
93	158.527	163.829
94	157.441	162.313
95	156.763	161.246
96	156.303	160.056
97	155.625	159.247
98	154.674	157.833
99	154.674	157.139
100	153.53	156.344
101	153.419	155.488
102	144.765	154.866
103	144.765	154.707
104	142.638	155.999
105	144.765	156.855
106	143.87	156.369
107	143.87	154.685
108	143.87	152.539
109	143.87	149.571
110	143.87	146.589
111	142.983	145.287
112	142.353	144.397
113	141.911	144.132
114	141.543	143.738
115	141.204	143.235
116	140.205	142.517
117	139.83	141.929
118	139.387	141.409
119	137.909	140.883
120	137.878	140.426
121	136.76	139.819
122	136.249	139.176
123	135.017	138.505
124	135.017	137.884
125	134.105	137.553
126	132.946	136.611
127	132.272	135.58
128	131.758	134.268
129	130.92	133.483
130	129.913	132.725
131	129.877	132.078
132	129.058	131.441
133	128.266	130.695
134	127.411	130.077
135	127.08	129.555
136	127.03	129.281
137	126.506	128.104
138	126.068	127.381
139	126.028	127.013
140	125.784	126.739
141	124.651	126.403
142	124.651	126.304
143	124.651	126.24
144	124.651	126.175
145	124.651	125.967
146	124.651	126.056
147	124.393	126.222
148	124.393	126.189
149	124.393	126.031
150	124.393	125.914
151	124.393	125.991
152	120.355	125.624
153	120.355	124.857
154	120.232	123.741
155	119.989	122.359
156	115.737	121.375
157	112.525	120.281
158	112.525	119.041
159	112.376	117.537
160	111.974	116.026
161	112.183	114.272
162	112.053	113.651
163	111.963	112.767
164	111.769	112.334
165	111.639	112.147
166	109.779	111.958
167	109.216	111.691
168	109	111.147
169	108.498	110.624
170	107.817	110.022
171	106.769	109.709
172	106.535	109.601
173	106.535	109.339
174	106.319	109.021
175	106.319	108.177
176	106.245	107.699
177	106.245	107.114
178	105.933	106.578
179	105.568	106.287
180	105.008	106.139
181	104.31	105.881
182	104.049	105.639
183	103.928	105.328
184	103.326	104.89
185	102.986	104.528
186	102.986	104.184
187	102.303	103.871
188	102.911	103.487
189	102.911	103.324
190	102.911	103.098
191	102.911	102.996
192	102.105	102.901
193	101.691	102.726
194	101.691	102.484
195	99.6478	102.276
196	99.5574	101.856
197	99.5438	101.381
198	99.4291	100.585
199	99.3173	100.019
200	99.2431	99.5749
