# GEN: 	 LUNGHEZZA DEL MIGLIORE: 	 LUNGHEZZA MEDIA:
1	459.099	506.905
2	430.099	487.591
3	415.307	466.731
4	406.108	447.301
5	399.481	429.109
6	389.062	419.054
7	382.772	411.017
8	375.997	403.392
9	361.443	394.653
10	364.636	386.913
11	345.786	380.875
12	343.507	372.973
13	334.68	365.27
14	329.161	355.731
15	324.334	346.52
16	315.746	339.94
17	307.968	333.511
18	304.433	327.842
19	301.679	321.269
20	296.346	315.113
21	296.269	311.147
22	293.36	307.627
23	288.196	304.353
24	286.03	301.459
25	281.332	297.453
26	270.874	293.201
27	270.874	289.307
28	267.122	285.545
29	266.384	281.123
30	261	277.625
31	255.836	272.637
32	255.836	268.533
33	255.836	264.732
34	249.786	261.646
35	249.098	258.912
36	245.783	256.476
37	245.327	253.953
38	244.657	251.768
39	237.961	249.235
40	237.961	247.462
41	234.929	244.783
42	228.234	241.344
43	224.544	238.109
44	225.926	234.108
45	224.544	230.982
46	225.226	227.937
47	223.797	227.027
48	221.128	226.272
49	220.368	225.224
50	218.308	224.315
51	214.996	223.199
52	212.674	222.339
53	212.674	221.015
54	210.321	217.734
55	210.304	215.586
56	206.151	214.164
57	203.798	212.187
58	198.587	210.194
59	197.736	207.307
60	196.614	204.068
61	195.596	202.023
62	194.745	200.487
63	191.685	199.358
64	191.685	197.398
65	190.454	195.891
66	189.328	194.543
67	189.553	193.3
68	185.168	191.998
69	185.168	190.66
70	185.168	189.054
71	183.264	188.095
72	181.052	186.531
73	180.766	186.235
74	178.862	185.028
75	178.796	184.571
76	178.796	184.035
77	176.241	182.546
78	176.241	181.619
79	175.002	180.391
80	173.274	178.987
81	173.274	177.559
82	169.963	176.003
83	169.963	174.92
84	170.666	173.99
85	169.21	173.275
86	167.737	172.225
87	167.487	171.448
88	167.481	170.786
89	166.182	169.76
90	165.479	169.096
91	165.017	168.831
92	162.917	168.542
93	162.515	168.079
94	162.515	167.516
95	162.515	166.697
96	162.515	165.262
97	161.961	164.155
98	161.961	163.296
99	159.844	162.6
100	159.116	162.467
101	157.045	161.528
102	153.165	160.922
103	153.32	159.538
104	152	157.609
105	150.478	155.753
106	149.86	154.505
107	148.908	153.107
108	148.754	152.186
109	148.742	151.086
110	148.452	150.428
111	148.008	149.798
112	146.839	149.76
113	146.131	149.208
114	146.131	149.465
115	146.131	149.449
116	145.231	149.373
117	144.848	148.377
118	144.725	146.987
119	142.669	146.193
120	142.262	145.151
121	139.217	144.509
122	140.548	143.617
123	140.548	142.918
124	139.493	142.147
125	139.493	141.53
126	139.493	140.737
127	137.752	140.389
128	137.683	139.786
129	135.5	139.239
130	135.5	138.558
131	134.224	137.402
132	134.224	136.775
133	132.744	135.956
134	132.692	134.79
135	132.311	134.149
136	131.704	133.597
137	131.507	133.32
138	130.214	132.961
139	129.834	132.391
140	128.992	131.877
141	127.994	131.312
142	127.236	130.701
143	126.227	130.369
144	124.64	130.124
145	123.631	129.523
146	123.256	129.348
147	122.711	128.819
148	121.829	127.86
149	121.829	126.683
150	121.829	125.144
151	121.829	124.431
152	120.296	123.396
153	120.296	123.053
154	120.202	122.272
155	120.036	121.576
156	120.036	121.062
157	119.942	121.068
158	119.942	121.528
159	118.083	121.02
160	117.989	120.408
161	117.749	119.67
162	117.749	119.107
163	117.437	118.588
164	116.718	118.407
165	116.718	118.563
166	116.718	119.169
167	116.548	119.296
168	116.548	120.561
169	116.267	120.738
170	116.059	120.067
171	115.463	119.164
172	115.181	119.212
173	114.734	118.246
174	114.734	117.83
175	114.695	116.933
176	114.695	116.594
177	114.695	115.717
178	114.232	115.012
179	114.232	114.802
180	113.526	114.774
181	113.26	114.741
182	112.09	114.758
183	111.817	114.498
184	111.074	114.032
185	110.495	113.446
186	110.356	113.06
187	109.777	112.273
188	109.503	111.583
189	109.503	110.961
190	108.799	110.53
191	108.765	110.04
