#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
                   1           -0.482722           -0.482722                   0
                   2           -0.482446           -0.482584         9.73262e-05
                   3           -0.483368           -0.482845         0.000223087
                   4           -0.483909           -0.483111         0.000284676
                   5           -0.484314           -0.483352         0.000313262
                   6           -0.482727           -0.483248         0.000277834
                   7           -0.485266           -0.483536         0.000357703
                   8           -0.483591           -0.483543         0.000313057
                   9           -0.483694            -0.48356         0.000278724
                  10           -0.481351           -0.483339         0.000326842
                  11           -0.483035           -0.483311         0.000298292
                  12           -0.482867           -0.483274         0.000275718
                  13           -0.481759           -0.483158         0.000278051
                  14           -0.484113           -0.483226         0.000266427
                  15           -0.484616           -0.483318          0.00026429
                  16           -0.485873           -0.483478         0.000292051
                  17           -0.484702            -0.48355         0.000283608
                  18            -0.48397           -0.483573         0.000268808
                  19           -0.484167           -0.483605         0.000256467
                  20           -0.482913            -0.48357         0.000245963
