#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1            0.031476            0.031476                   0
                   2            0.034512            0.032994          0.00107339
                   3            0.023406            0.029798          0.00270586
                   4            0.028654            0.029512          0.00204445
                   5            0.037284           0.0310664          0.00214662
                   6            0.031934            0.031211          0.00179372
                   7             0.03208           0.0313351          0.00154176
                   8             0.03096           0.0312883          0.00134975
                   9            0.026306           0.0307347          0.00130839
                  10            0.018952           0.0295564          0.00162361
                  11             0.02696           0.0293204          0.00149307
                  12             0.02756           0.0291737          0.00137583
                  13            0.021354           0.0285722          0.00139531
                  14            0.031432           0.0287764          0.00131051
                  15             0.03119           0.0289373          0.00123298
                  16            0.034266           0.0292704          0.00120006
                  17            0.030706           0.0293548          0.00113243
                  18            0.026688           0.0292067          0.00107917
                  19            0.035532           0.0295396          0.00107249
                  20            0.025858           0.0293555          0.00103454
