#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.217223    0.217223           0
           2    0.216157     0.21669 0.000377138
           3    0.212484    0.215288  0.00117211
           4    0.212447    0.214578  0.00107286
           5    0.213169    0.214296  0.00089452
           6    0.212903    0.214064 0.000774994
           7    0.214758    0.214163 0.000670597
           8    0.214048    0.214149 0.000586926
           9     0.21393    0.214124 0.000522213
          10    0.216673    0.214379 0.000528519
          11     0.21082    0.214056 0.000571012
          12    0.214631    0.214104 0.000525437
          13    0.216649    0.214299 0.000520228
          14    0.213797    0.214264 0.000484302
          15    0.215092    0.214319 0.000455153
          16     0.21467    0.214341 0.000427235
          17     0.21418    0.214331 0.000402209
          18    0.209729    0.214076 0.000453924
          19    0.209854    0.213853 0.000481342
          20    0.213135    0.213817 0.000458614
