#   N_BLOCK:  ACCEPTANCE:
           1    0.513769
           2    0.513636
           3    0.513219
           4    0.513196
           5    0.513326
           6    0.513206
           7    0.512966
           8     0.51304
           9    0.513055
          10    0.513124
          11    0.513139
          12    0.513096
          13    0.513154
          14    0.513245
          15    0.513168
          16    0.513018
          17     0.51299
          18    0.512942
          19    0.512902
          20    0.512918
