#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.53737     1.53737           0
           2      1.5125     1.52493  0.00879492
           3     1.51463      1.5215  0.00649909
           4     1.53594     1.52511  0.00579102
           5     1.54287     1.52866   0.0056175
           6     1.55535     1.53311  0.00619625
           7     1.56041     1.53701  0.00642236
           8     1.54554     1.53808  0.00570731
           9     1.54219     1.53853   0.0050914
          10     1.50243     1.53492  0.00572113
          11     1.49796     1.53156  0.00610853
          12     1.53857     1.53215  0.00562732
          13     1.49109     1.52899  0.00601564
          14     1.51132     1.52773  0.00571683
          15     1.54712     1.52902  0.00547993
          16     1.54519     1.53003  0.00522985
          17     1.52131     1.52952  0.00494729
          18     1.50502     1.52816  0.00485604
          19     1.52977     1.52824  0.00460121
          20     1.48266     1.52596  0.00490313
