#   N_BLOCK:  ACCEPTANCE:
           1    0.490958
           2    0.491316
           3     0.49093
           4    0.490489
           5    0.490717
           6    0.490703
           7    0.490493
           8    0.490472
           9    0.490699
          10    0.490764
          11    0.490812
          12    0.490788
          13    0.490867
          14    0.490929
          15    0.490909
          16    0.490789
          17     0.49088
          18    0.490844
          19    0.490722
          20    0.490683
