#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.233442    0.233442           0
           2    0.229408    0.231425  0.00142593
           3    0.235674    0.232841  0.00149696
           4    0.229004    0.231882  0.00139666
           5    0.228588    0.231223  0.00126314
           6    0.233448    0.231594   0.0011057
           7     0.23356    0.231875 0.000982756
           8    0.233123    0.232031 0.000872203
           9    0.230251    0.231833 0.000797402
          10    0.232096    0.231859 0.000718095
          11    0.227709    0.231482 0.000745373
          12      0.2347     0.23175 0.000729915
          13    0.235827    0.232064 0.000738059
          14    0.234446    0.232234 0.000704682
          15    0.228504    0.231985 0.000700194
          16    0.230723    0.231906 0.000660862
          17    0.226897    0.231612 0.000684545
          18    0.229528    0.231496 0.000656232
          19    0.227822    0.231303 0.000649555
          20    0.233383    0.231407  0.00062535
