#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.75078     1.75078           0
           2     1.68304     1.71691   0.0239481
           3     1.70244     1.71209   0.0164438
           4     1.72431     1.71514   0.0126133
           5     1.69447     1.71101   0.0107468
           6     1.73939     1.71574   0.0099422
           7     1.74928     1.72053  0.00960761
           8     1.70032     1.71801  0.00873253
           9     1.68989     1.71488  0.00830219
          10     1.68287     1.71168   0.0080655
          11     1.70411     1.71099  0.00736159
          12     1.70344     1.71036  0.00677496
          13     1.67778     1.70786  0.00670146
          14     1.70608     1.70773  0.00622398
          15     1.70884      1.7078   0.0058095
          16     1.71847     1.70847  0.00548454
          17     1.68714     1.70722  0.00530357
          18     1.73427     1.70872   0.0052176
          19     1.73392     1.71005  0.00510874
          20     1.71006     1.71005  0.00485331
