#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
                   1           -0.505163           -0.505163                   0
                   2           -0.503862           -0.504512         0.000460086
                   3           -0.505593           -0.504873         0.000424885
                   4           -0.508146           -0.505691         0.000777121
                   5           -0.505308           -0.505614         0.000625458
                   6           -0.505351           -0.505571         0.000522749
                   7           -0.508345           -0.505967         0.000579164
                   8           -0.506955            -0.50609         0.000519769
                   9            -0.50585           -0.506064         0.000462701
                  10           -0.504839           -0.505941         0.000432349
                  11           -0.504602            -0.50582         0.000409819
                  12           -0.505359           -0.505781          0.00037746
                  13           -0.504658           -0.505695         0.000358182
                  14           -0.506754            -0.50577         0.000340493
                  15           -0.505554           -0.505756           0.0003181
                  16           -0.507602           -0.505871         0.000318452
                  17            -0.50543           -0.505845         0.000300775
                  18           -0.505874           -0.505847         0.000284069
                  19           -0.507771           -0.505948         0.000286592
                  20           -0.506232           -0.505962         0.000272613
