#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.411118    0.411118           0
           2     0.41048    0.410799 0.000225315
           3    0.412085    0.411228 0.000380953
           4    0.400376    0.408515  0.00236679
           5    0.408794    0.408571  0.00189409
           6     0.40864    0.408582  0.00157844
           7    0.415795    0.409613  0.00165545
           8    0.414153     0.41018  0.00154276
           9    0.412972     0.41049  0.00140218
          10    0.402438    0.409685  0.00147514
          11    0.414647    0.410136  0.00140831
          12    0.412428    0.410327  0.00130384
          13    0.416064    0.410769  0.00127604
          14    0.411325    0.410808  0.00118551
          15    0.408872    0.410679  0.00111349
          16    0.400942    0.410071  0.00119872
          17    0.413872    0.410294  0.00114887
          18    0.418599    0.410756  0.00117403
          19      0.4018    0.410284  0.00120314
          20    0.426583    0.411099  0.00139189
