#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     5.82742     5.82742           0
           2     6.47837     6.15289    0.230145
           3     6.15743      6.1544    0.153435
           4      6.1086     6.14295    0.115503
           5     5.87381     6.08913    0.104193
           6     5.78597      6.0386   0.0983183
           7     6.55841     6.11286    0.108759
           8     5.94353     6.09169   0.0972015
           9     6.10364     6.09302   0.0864104
          10     6.00687      6.0844   0.0781977
          11     5.99443     6.07622   0.0715153
          12     6.34177     6.09835   0.0688944
          13     6.21795     6.10755   0.0642062
          14     6.01578       6.101   0.0599537
          15     6.09636     6.10069   0.0559576
          16     5.81987     6.08314    0.055144
          17     5.94273     6.07488   0.0525151
          18     6.09774     6.07615    0.049613
          19     5.76892     6.05998   0.0495669
          20     6.24603     6.06928   0.0479535
